Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
6871040, 6620882, 2308926, 38701168, 17587165, 37671774, 17587165
6917120, 6659097, 2324378, 38704636, 17587165, 37673917, 17587165
6963200, 6697313, 2339831, 38490251, 17587165, 37955725, 17587165
7009280, 6735528, 2355283, 38624712, 17587165, 37949939, 17587165
7055360, 6773744, 2370735, 38709021, 17587165, 37966178, 17587165
7101440, 6811960, 2386187, 38816178, 17587165, 37826483, 17587165
7147520, 6850175, 2401639, 38682913, 17587165, 38024580, 17587165
7193600, 6888391, 2417091, 38684261, 17587165, 38030553, 17587165
7239680, 6926606, 2432544, 38722934, 17587165, 38076134, 17587165
7285760, 6964822, 2447996, 38706904, 17587165, 38106668, 17587165
7331840, 7003038, 2463448, 38734104, 17587165, 38086806, 17587165
7377920, 7041253, 2478900, 38798059, 17587165, 37997091, 17587165
7424000, 7079469, 2494352, 38827336, 17587165, 37978677, 17587165
7470080, 7118034, 2509820, 38694604, 17587165, 38166239, 17587165
7516160, 7155915, 2525272, 38850834, 17587165, 37964345, 17587165
7562240, 7194131, 2540724, 38733705, 17587165, 38148630, 17587165
7608320, 7231676, 2556176, 38855972, 17587165, 37986546, 17587165
7654400, 7269892, 2571628, 38826919, 17587165, 38036884, 17587165
7700480, 7307102, 2587080, 38835087, 17587165, 38043372, 17587165
7746560, 7344648, 2602533, 38751426, 17587165, 38155763, 17587165
7792640, 7382194, 2617985, 38914741, 17587165, 37974342, 17587165
7838720, 7420074, 2633437, 38836513, 17587165, 38080309, 17587165
7884800, 7458290, 2648889, 38904411, 17587165, 38006736, 17587165
7930880, 7495165, 2664341, 38898677, 17587165, 38010233, 17587165
7976960, 7532041, 2679793, 38780452, 17587165, 38197463, 17587165
8023040, 7570272, 2695261, 38771881, 17587165, 38216622, 17587165
8069120, 7608152, 2710713, 38942533, 17587165, 38004673, 17587165
8115200, 7645698, 2726165, 38807681, 17587165, 38196193, 17587165
8161280, 7684248, 2741617, 40130938, 17587165, 36916839, 17587165
8207360, 7724139, 2757070, 40208105, 17587165, 36914931, 17587165
8253440, 7763695, 2772522, 40215453, 17587165, 36921323, 17587165
8299520, 7803920, 2787974, 40225491, 17587165, 36926903, 17587165
8345600, 7844146, 2803426, 40270178, 17587165, 36919443, 17587165
8391680, 7884036, 2818878, 40247106, 17587165, 36929091, 17587165
8437760, 7923927, 2834330, 40209098, 17587165, 36934951, 17587165
8483840, 7963818, 2849783, 40308310, 17587165, 36927605, 17587165
8529920, 8003708, 2865235, 40292425, 17587165, 36932741, 17587165
8576000, 8043599, 2880687, 40305216, 17587165, 36938169, 17587165
8622080, 8084174, 2896154, 40314647, 17587165, 36943361, 17587165
8668160, 8124065, 2911607, 40314001, 17587165, 36948754, 17587165
8714240, 8163956, 2927059, 40321563, 17587165, 36954538, 17587165
8760320, 8203511, 2942511, 40331068, 17587165, 37186412, 17587165
8806400, 8243067, 2957963, 40289068, 17587165, 37200965, 17587165
8852480, 8282622, 2973415, 40345490, 17587165, 37255364, 17587165
8898560, 8322178, 2988867, 40341172, 17587165, 37286661, 17587165
8944640, 8361734, 3004320, 40379692, 17587165, 37283342, 17587165
8990720, 8401289, 3019772, 40361688, 17587165, 37297767, 17587165
9036800, 8440845, 3035224, 40369765, 17587165, 37302818, 17587165
9082880, 8480400, 3050676, 40377090, 17587165, 37308870, 17587165
9128960, 8519956, 3066128, 40420735, 17587165, 37251968, 17587165
9175040, 8559862, 3081596, 40484927, 17587165, 37257995, 17587165
9221120, 8599417, 3097048, 40447295, 17587165, 37258780, 17587165
9267200, 8638973, 3112500, 40512997, 17587165, 37264052, 17587165
9313280, 8678528, 3127952, 40529985, 17587165, 37260962, 17587165
9359360, 8718084, 3143404, 40549782, 17587165, 37261272, 17587165
